objectid,filename,Pager Identifier,Page number,Stope Book Name,Stope Book number,Volume number,Sill number,subject,Level & Floor,title,description,map_type,county,location,latitude,longitude,geomethod,datum,date,creator,identifier,scanned,optimized,map_width_inches,map_length_inches,relations_defined,relations_defined_staff,map_scale,township,range,section,format
13,13.jpg,9,10,ALICE,U-27,1,1-6,ALICE SHAFT COLLAR; CLARK'S FRACTION SHAFT COLLAR; MAGNA CHARTA,ALICE SHAFT COLLAR; CLARK'S FRACTION SHAFT COLLAR; MAGNA CHARTA SHAFT LOCATION,ALICE SHAFT COLLAR; CLARK'S FRACTION SHAFT COLLAR; MAGNA CHARTA SHAFT LOCATION,ELEVATION: 6366.19'; 6366.19' AT THE ALICE SHAFT COLLAR; 6166.1' AT THE LESSEE SHAFT,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
14,14.jpg,10,11,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; MAGNA CHARTA,ALICE SHAFT; CLARK'S FRACTION SHAFT; LESSEE SHAFT; MAGNA CHARTA SHAFT; MAGNA CHARTA LEASER'S SHAFT,ALICE SHAFT; CLARK'S FRACTION SHAFT; LESSEE SHAFT; MAGNA CHARTA SHAFT; MAGNA CHARTA LEASER'S SHAFT,ELEVATION: 6358.3'; 6358.0' AT THE ALICE SHAFT,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
15,15.jpg,11,12,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; LESSEE SHAFT COLLAR; MAGNA CHARTA; MAGNOLIA SHAFT COLLAR,ALICE SHAFT; CLARK'S FRACTION SHAFT; LESSEE SHAFT COLLAR; LESSEE SHAFT; MAGNA CHARTA SHAFT; MAGNA CHARTA LEASER'S SHAFT; MAGNOLIA SHAFT COLLAR,ALICE SHAFT; CLARK'S FRACTION SHAFT; LESSEE SHAFT COLLAR; LESSEE SHAFT; MAGNA CHARTA SHAFT; MAGNA CHARTA LEASER'S SHAFT; MAGNOLIA SHAFT COLLAR,ELEVATION: 6350.5'; 6350.0' AT THE ALICE SHAFT; 6352.2' AT THE LESSEE SHAFT COLLAR; 6350.5' AT THE MAGNOLIA SHAFT COLLAR,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
16,16.jpg,12,13,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; LESSEE SHAFT COLLAR; MAGNA CHARTA,ALICE SHAFT; CLARK'S FRACTION SHAFT; LESSEE SHAFT COLLAR; MAGNA CHARTA 100-7,ALICE SHAFT; CLARK'S FRACTION SHAFT; LESSEE SHAFT COLLAR; MAGNA CHARTA 100-7,ELEVATION: 6342.6'; 6342.0' AT THE ALICE SHAFT; 6346.3' AT THE LESSEE SHAFT COLLAR,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
17,17.jpg,13,14,ALICE,U-27,1,1-6,ALICE; LESSEE; MAGNA CHARTA,ALICE 100-8; LESSEE 17 SILL; MAGNA CHARTA 100-6,ALICE 100-8; LESSEE 17 SILL; MAGNA CHARTA 100-6,ELEVATION: 6334.8'; 6334.0' AT THE ALICE SHAFT,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
18,18.jpg,14,15,ALICE,U-27,1,1-6,ALICE; MAGNA CHARTA; PETER'S SHAFT COLLAR,ALICE 100-7; MAGNA CHARTA 100-5; PETER'S SHAFT COLLAR,ALICE 100-7; MAGNA CHARTA 100-5; PETER'S SHAFT COLLAR,ELEVATION: 6326.9'; 6327.0' AT THE ALICE SHAFT; 6327.68' AT THE PETER'S SHAFT COLLAR,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
19,19.jpg,15,16,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; MAGNA CHARTA; MOOSE; MURPHY'S SHAFT COLLAR,ALICE 100-6; ALICE 200-13 (NEW); CLARK'S FRACTION 100-6; MAGNA CHARTA 100-4; MOOSE 100 SILL; MURPHY'S SHAFT COLLAR,ALICE 100-6; ALICE 200-13 (NEW); CLARK'S FRACTION 100-6; MAGNA CHARTA 100-4; MOOSE 100 SILL; MURPHY'S SHAFT COLLAR,ELEVATION: 6319.0'; 6320.0' AT THE MURPHY'S SHAFT COLLAR,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
20,20.jpg,16,17,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; MAGNA CHARTA,ALICE 100-5; ALICE 200-12 (NEW); CLARK'S FRACTION 100-5; MAGNA CHARTA 100-3,ALICE 100-5; ALICE 200-12 (NEW); CLARK'S FRACTION 100-5; MAGNA CHARTA 100-3,ELEVATION: 6311.2'; 6311.0' AT THE ALICE SHAFT ELEVATION; 6315.5' AT THE JAMES SHAFT,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
21,21.jpg,17,18,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; MAGNA CHARTA,ALICE 100-4; ALICE 200-11 (NEW); CLARK'S FRACTION 100-4; MAGNA CHARTA 100-2,ALICE 100-4; ALICE 200-11 (NEW); CLARK'S FRACTION 100-4; MAGNA CHARTA 100-2,ELEVATION: 6303.4'; 6303.0' AT THE ALICE SHAFT; 6309.5' AT THE JAMES SHAFT,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
22,22.jpg,18,19,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; MAGNA CHARTA,ALICE 100-3; ALICE 200-10 (NEW); CLARK'S FRACTION 100-3; MAGNA CHARTA 100-1,ALICE 100-3; ALICE 200-10 (NEW); CLARK'S FRACTION 100-3; MAGNA CHARTA 100-1,ELEVATION: 6295.5'; 6296.0' AT THE ALICE SHAFT; 6354.43' (APPROX.) AT THE MAGNOLIA SHAFT,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
23,23.jpg,19,20,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; MAGNA CHARTA; MAGNOLIA; VALDAMERE SHAFT COLLAR,ALICE 100-2; ALICE 200-9 (NEW); CLARK'S FRACTION 100-2; MAGNA CHARTA 100 SILL; MAGNOLIA 70 SILL; VALDEMERE SHAFT COLLAR,ALICE 100-2; ALICE 200-9 (NEW); CLARK'S FRACTION 100-2; MAGNA CHARTA 100 SILL; MAGNOLIA 70 SILL; VALDEMERE SHAFT COLLAR,ELEVATION: 6287.7'; 6288.0' AT THE ALICE SHAFT ELEVATION; 6298.0' (APPROX.) AT THE MAGNA CHARTA SHAFT; 6292.0' AT THE LEASER'S SHAFT; 6287.0' (APPROX.) AT THE MAGNOLIA SHAFT,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
24,24.jpg,20,21,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; PETER'S; MAGNA CHARTA; MURPHY,ALICE 100-1; ALICE 200-8 (NEW); CLARK'S FRACTION 100-1; PETER'S 40 SILL; MAGNA CHARTA 200-14; MURPHY 36 SILL,ALICE 100-1; ALICE 200-8 (NEW); CLARK'S FRACTION 100-1; PETER'S 40 SILL; MAGNA CHARTA 200-14; MURPHY 36 SILL,ELEVATION: 6279.8'; 6280.0' AT THE ALICE SHAFT; 6285.0' AT THE MUPRHY SHAFT,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
25,25.jpg,21,22,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; MAGNA CHARTA,ALICE 100 SILL; ALICE 200-7 (NEW); CLARK'S FRACTION 100 SILL; MAGNA CHARTA 200-13,ALICE 100 SILL; ALICE 200-7 (NEW); CLARK'S FRACTION 100 SILL; MAGNA CHARTA 200-13,ELEVATION: 6271.9'; 6272.0' AT THE ALICE SHAFT; 6318.5' AT THE LESSEE SHAFT,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
26,26.jpg,22,23,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; MAGNA CHARTA,ALICE 200-9; ALICE 200-6 (NEW); CLARK'S FRACTION 200-9; MAGNA CHARTA 200-12,ALICE 200-9; ALICE 200-6 (NEW); CLARK'S FRACTION 200-9; MAGNA CHARTA 200-12,ELEVATION: 6264.8'; 6273.0' AT THE MURPHY SHAFT SUMP,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
27,27.jpg,23,24,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; MAGNA CHARTA,ALICE 200-8; ALICE 200-5 (NEW); CLARK'S FRACTION 200-8; CHARTA 200-11,ALICE 200-8; ALICE 200-5 (NEW); CLARK'S FRACTION 200-8; CHARTA 200-11,ELEVATION: 6257.7'; 6262.0' AT THE ALICE SHAFT; 6267.0' AT THE PETER'S SHAFT,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
28,28.jpg,24,25,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; MAGNA CHARTA,ALICE 200-7; ALICE 200-4 (NEW); CLARK'S FRACTION 200-7; MAGNA CHARTA 200-10,ALICE 200-7; ALICE 200-4 (NEW); CLARK'S FRACTION 200-7; MAGNA CHARTA 200-10,ELEVATION: 6250.5'; 6255.0' AT THE ALICE SHAFT; 6266.6' AT THE LESSEE SHAFT,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
29,29.jpg,25,26,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; MAGNA CHARTA,ALICE 200-6; ALICE 200-3 (NEW); CLARK'S FRACTION 200-6; MAGNA CHARTA 200-9,ALICE 200-6; ALICE 200-3 (NEW); CLARK'S FRACTION 200-6; MAGNA CHARTA 200-9,ELEVATION: 6243.4'; 6247.0' AT THE ALICE SHAFT,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
30,30.jpg,26,27,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; MAGNA CHARTA; PETER,ALICE 200-5; ALICE 200-2 (NEW); CLARK'S FRACTION 200-5; MAGNA CHARTA 200-8; PETER 86 SILL,ALICE 200-5; ALICE 200-2 (NEW); CLARK'S FRACTION 200-5; MAGNA CHARTA 200-8; PETER 86 SILL,ELEVATION: 6236.3'; 6239.0' AT THE ALICE SHAFT; 6241.8' AT THE PETER'S SHAFT,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
31,31.jpg,27,28,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; LESSEE; MAGNA CHARTA,ALICE 200-4; ALICE 200-1 (NEW); CLARK'S FRACTION 200-4; LESSEE 100 SILL; MAGNA CHARTA 200-7,ALICE 200-4; ALICE 200-1 (NEW); CLARK'S FRACTION 200-4; LESSEE 100 SILL; MAGNA CHARTA 200-7,ELEVATION: 6229.1'; 6231.0' AT THE ALICE SHAFT; 6241.8' AT THE PETER'S SHAFT,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
32,32.jpg,28,29,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; MAGNA CHARTA,ALICE 200-3; ALICE 200 SILL (NEW); CLARK'S FRACTION 200-3; MAGNA CHARTA 200-6,ALICE 200-3; ALICE 200 SILL (NEW); CLARK'S FRACTION 200-3; MAGNA CHARTA 200-6,ELEVATION: 6221.9'; 6225.52' AT THE ALICE SHAFT; 6225.0' AT THE PETER'S SHAFT,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
33,33.jpg,29,30,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; MAGNA CHARTA,ALICE 200-2; ALICE 300-16; CLARK'S FRACTION 200-2; MAGNA CHARTA 200-5,ALICE 200-2; ALICE 300-16; CLARK'S FRACTION 200-2; MAGNA CHARTA 200-5,ELEVATION: 6214.8'; 6216.0' AT THE ALICE SHAFT; 6214.0' APPROX. AT THE LEASER'S SHAFT,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
34,34.jpg,30,31,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; MAGNA CHARTA,ALICE 200-1; ALICE 300-15; CLARK'S FRACTION 200-1; MAGNA CHARTA 200-4,ALICE 200-1; ALICE 300-15; CLARK'S FRACTION 200-1; MAGNA CHARTA 200-4,ELEVATION: 6207.6'; 6208.0' AT THE ALICE SHAFT,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
35,35.jpg,31,32,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; KELLEY-BOLTON; MAGNA CHARTA; MAGNOLIA; PETER'S,ALICE 200 SILL; ALICE 300-14; CLARK'S FRACTION 200 SILL; KELLEY-BOLTON 115 SILL; MAGNA CHARTA 200-3; MAGNOLIA 200-6; PETER'S 115 SILL,ALICE 200 SILL; ALICE 300-14; CLARK'S FRACTION 200 SILL; KELLEY-BOLTON 115 SILL; MAGNA CHARTA 200-3; MAGNOLIA 200-6; PETER'S 115 SILL,ELEVATION: 6200.5'; 6200.51' AT THE ALICE SHAFT; 6206.10' AT THE PETER'S SHAFT; 6201.65' AT THE CLARK'S FRACTION; 6219.0' AT THE LEESEE SHAFT,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
36,36.jpg,32,33,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; MAGNA CHARTA; MAGNOLIA,ALICE 300-13 (REPEATED); CLARK'S FRACTION 300-12 (REPEATED); MAGNA CHARTA 200-2; MAGNOLIA 200-5,ALICE 300-13 (REPEATED); CLARK'S FRACTION 300-12 (REPEATED); MAGNA CHARTA 200-2; MAGNOLIA 200-5,ELEVATION: 6200.5'; 6200.51' AT THE ALICE SHAFT; 6206.10' AT THE PETER'S SHAFT; 6201.65' AT THE CLARK'S FRACTION; 6219.0' AT THE LEESEE SHAFT,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
37,37.jpg,33,34,ALICE,U-27,1,1-6,ALICE; BENICH SHAFT COLLAR; CLARK'S FRACTION; MAGNA CHARTA; MAGNOLIA,ALICE 300-13; CLARK'S FRACTION 300-12; MAGNA CHARTA 200-1; MAGNOLIA 200-4,ALICE 300-13; CLARK'S FRACTION 300-12; MAGNA CHARTA 200-1; MAGNOLIA 200-4,ELEVATION: 6193.0',Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
38,38.jpg,34,35,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; MAGNA CHARTA; MAGNOLIA; PETER'S,ALICE 300-12; CLARK'S FRACTION 300-11; MAGNA CHARTA 200 SILL; MAGNOLIA 200-3; PETER'S 143 SILL,ALICE 300-12; CLARK'S FRACTION 300-11; MAGNA CHARTA 200 SILL; MAGNOLIA 200-3; PETER'S 143 SILL,ELEVATION: 6192.8',Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
39,39.jpg,35,36,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; MAGNA CHARTA; MAGNOLIA,ALICE 300-11; CLARK'S FRACTION 300-10; MAGNA CHARTA 300-12; MAGNOLIA 200-2,ALICE 300-11; CLARK'S FRACTION 300-10; MAGNA CHARTA 300-12; MAGNOLIA 200-2,ELEVATION: 6185.1'; 6180.0' APPROX. AT THE MAGNA CHARTA SHAFT; 6185.0' AT THE PETER'S SHAFT,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
40,40.jpg,36,37,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; MAGNA CHARTA; MAGNOLIA,ALICE 300-10; CLARK'S FRACTION 300-6; MAGNA CHARTA 300-11; MAGNOLIA 200-1,ALICE 300-10; CLARK'S FRACTION 300-6; MAGNA CHARTA 300-11; MAGNOLIA 200-1,ELEVATION: 6169.8',Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
41,41.jpg,37,38,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; MAGNA CHARTA; MAGNOLIA; PETER'S,ALICE 300-9; CLARK'S FRACTION 300-8; PETER'S 171 SILL; MAGNA CHARTA 300-10; MAGNOLIA 200 SILL,ALICE 300-9; CLARK'S FRACTION 300-8; PETER'S 171 SILL; MAGNA CHARTA 300-10; MAGNOLIA 200 SILL,ELEVATION: 6162.1'; 6154.0' T.S. EL. APPROX. AT THE MAGNOLIA SHAFT; 6157.1' AT THE PETER'S SHAFT,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
42,42.jpg,38,39,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; MAGNA CHARTA; MAGNOLIA,ALICE 300-8; CLARK'S FRACTION 300-7; MAGNA CHARTA 300-9; MAGNOLIA 300-9,ALICE 300-8; CLARK'S FRACTION 300-7; MAGNA CHARTA 300-9; MAGNOLIA 300-9,ELEVATION: 6154.4',Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
43,43.jpg,39,40,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; MAGNA CHARTA; MAGNOLIA,ALICE 300-7; CLARK'S FRACTION 300-6; MAGNA CHARTA 300-8; MAGNOLIA 300-8,ALICE 300-7; CLARK'S FRACTION 300-6; MAGNA CHARTA 300-8; MAGNOLIA 300-8,ELEVATION: 6146.7',Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
44,44.jpg,40,41,ALICE,U-27,1,1-6,ALICE; CLARK'S FRACTION; MAGNA CHARTA; MAGNOLIA,ALICE 300-6; CLARK'S FRACTION 300-5; MAGNA CHARTA 300-7; MAGNOLIA 300-7,ALICE 300-6; CLARK'S FRACTION 300-5; MAGNA CHARTA 300-7; MAGNOLIA 300-7,ELEVATION: 6139.0',Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
